time_s,lat_deg,lon_deg,height_m,ecef_x_m,ecef_y_m,ecef_z_m,east_mps,north_mps,up_mps,speed_mps,course_deg
0.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
1.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
2.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
3.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
4.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
5.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
6.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
7.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
8.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
9.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
10.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
11.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
12.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
13.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
14.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
15.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
16.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
17.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
18.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
19.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
20.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
21.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
22.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
23.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
24.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
25.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
26.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
27.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
28.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
29.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
30.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
31.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
32.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
33.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
34.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
35.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
36.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
37.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
38.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
39.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
40.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
41.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
42.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
43.000,33.6844000000,73.0479000000,540.0000,1549181.8225,5082338.0830,3517670.8313,0.000000,0.000000,0.000000,0.000000,0.000000
